FFQ	119	0	0	0	0	0	0	0	85	9165	12552	0	6	30	16	19	5253	1629	595	1310	145	23542	3510	7817	16459	12658	11273	14550	4867	18090	10129	128	2158	6220	16041	6968	68851	35261	26638	0	0
FFQ	120	0	0	0	0	0	0	0	83	8420	11806	0	3	21	13	22	4837	1560	582	1188	132	21964	3161	7250	15267	11917	10320	13427	4335	16890	9326	120	2098	5774	14731	6396	63714	32816	24819	0	0
FFQ	121	0	0	0	0	0	0	0	68	7945	10816	0	7	28	7	17	4526	1455	547	1044	137	20474	3072	6774	14084	11113	9624	12532	4072	15629	8881	112	1855	5319	13375	6022	58876	30192	22885	0	0
FFQ	122	0	0	0	0	0	0	0	66	7346	10551	0	10	11	11	14	4288	1330	459	1039	116	19055	2936	6182	13048	10255	8979	11814	3725	14302	8133	101	1743	4808	12346	5458	54260	27618	20703	0	0
FFQ	123	0	0	0	0	0	0	0	72	6735	9523	0	8	19	13	16	3962	1229	490	984	103	17394	2659	5744	11998	9723	8539	11132	3445	13072	7500	90	1635	4360	11495	5051	49984	25639	19217	0	0
FFQ	124	0	0	0	0	0	0	0	55	6173	8892	0	4	22	12	9	3704	1113	400	886	94	15985	2493	5421	11170	8896	7834	10287	3218	12197	6827	82	1482	4048	10379	4697	46075	23891	17789	0	0
FFQ	125	0	0	0	0	0	0	0	43	5895	8349	0	9	22	10	19	3355	964	394	803	102	15047	2325	4895	10244	8159	7295	9545	3048	11144	6345	91	1359	3607	9686	4531	42482	21503	16105	0	0
FFQ	126	0	0	0	0	0	0	0	51	5426	7751	0	1	13	6	8	3162	891	362	749	90	13888	2104	4660	9624	7577	6585	8807	2838	10221	5896	71	1255	3353	8720	4023	38860	19858	14445	0	0
FFQ	127	0	0	0	0	0	0	0	38	4833	7044	0	3	14	8	11	2831	929	350	737	77	12754	1935	4267	8813	7075	6203	8276	2443	9381	5337	76	1163	3039	8052	3748	35752	18083	13216	0	0
FFQ	128	0	0	0	0	0	0	0	32	4310	6518	0	5	15	6	5	2567	762	315	642	65	11691	1779	4018	7992	6335	5556	7780	2276	8529	4900	58	1075	2762	7270	3457	32361	16321	12169	0	0
FFQ	129	0	0	0	0	0	0	0	31	3302	4690	0	3	12	5	12	2045	668	262	509	48	10583	1577	3595	7284	5917	5093	6989	2058	7563	4456	54	895	2414	6400	3240	29033	15065	10678	0	0
FFQ	130	0	0	0	0	0	0	0	9	893	1415	0	0	8	1	2	694	258	75	182	11	8799	1428	3042	6222	5075	4305	6051	1657	6702	3770	38	798	2125	5376	2706	24756	12902	9222	0	0
FFQ	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4797	713	1455	3703	2940	2388	3873	261	2368	1407	8	282	592	831	1023	8812	4542	3809	0	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	0	0	0	0	0	8	1725	14859	0	0	3	0	1	1	5	11	7	5520	3755	7453	8083	3956	2202	18039	376	765	1598	25806	12439	7470	57072	33575	66848	245999	4557568	0
LFQ	2	0	0	0	0	0	0	0	0	0	5	1729	14574	0	0	1	0	0	1	3	16	4	5565	3810	7317	8317	3887	2156	17871	309	825	1580	26605	12912	8530	55340	33886	67903	252568	4547239	0
LFQ	3	0	0	0	0	0	0	0	0	0	9	1867	15241	0	0	1	0	0	1	3	245	274	4912	4030	7833	8623	4141	2160	18515	334	837	1671	27288	13550	9305	57362	35826	70139	260706	4525901	0
LFQ	4	0	0	0	0	0	0	0	0	0	7	2111	17494	0	0	0	1	1	1	4	309	373	5225	4656	8339	9705	4355	2364	20017	300	995	1830	28904	14588	9326	62231	38099	75646	277840	4483807	0
LFQ	5	0	0	0	0	0	0	0	0	0	10	1914	15542	0	0	1	0	2	0	1	867	1000	3802	4303	7904	8861	4261	2546	18681	320	872	1796	30325	15123	12889	54616	37156	74025	279809	4489800	0
LFQ	6	0	0	0	0	0	0	0	0	0	13	2001	16044	0	0	2	1	1	0	7	828	957	3836	4287	8362	9401	4407	2432	19403	296	953	1888	31670	15954	14352	54242	38892	76311	286711	4470893	0
LFQ	7	0	0	2	0	0	0	0	0	0	13	1964	15990	0	0	1	0	2	1	5	1231	1543	2539	4553	8406	9456	4549	2445	19231	507	996	2434	30820	16486	14346	54198	40459	76905	290876	4461869	0
LFQ	8	0	0	0	0	0	0	0	0	0	12	2135	17355	0	0	0	0	0	0	11	1758	2148	1579	4952	9205	10741	4579	2721	20277	689	1107	2834	32438	17600	14445	58268	42198	80180	303806	4428209	0
LFQ	9	0	0	0	0	0	0	0	0	0	10	2257	17299	0	0	2	1	2	0	12	2133	2824	656	5048	9098	10678	4713	2631	19954	2646	1502	5618	27792	19154	12937	58587	42650	81496	311288	4415827	0
LFQ	10	0	0	0	0	0	0	0	0	0	17	2098	16816	0	0	0	2	0	0	11	2402	2907	9	4970	9209	10373	4734	2852	19972	4087	1757	7879	24122	20664	11660	59662	43626	82323	314587	4407686	0
LFQ	11	0	0	0	0	0	0	0	0	0	17	2246	17435	0	0	2	0	2	3	13	2361	2922	27	5287	9700	10925	4899	2755	20637	6554	2205	11797	18511	23526	8990	61503	45728	84556	323542	4385746	0
LFQ	12	0	0	0	0	0	0	0	0	0	16	2370	19249	0	0	2	0	2	1	15	2491	3064	21	5927	10683	12137	5179	3002	21924	6663	2276	12175	20582	24787	10144	65357	48096	89509	339967	4343709	0
LFQ	13	0	0	0	0	0	0	0	0	0	25	2279	18726	0	0	1	1	4	1	14	2346	3028	114	5704	10425	12077	5270	3005	21783	8668	2538	15367	15281	26811	8108	66355	48404	90943	350736	4328870	0
LFQ	14	0	0	0	0	0	0	0	0	0	25	2258	18178	0	0	0	2	1	2	14	2371	3010	149	5596	10184	11863	5176	2990	21602	8777	2677	15651	14647	27236	7903	66912	49509	91787	356967	4318854	0
LFQ	15	0	0	0	0	0	0	0	0	0	16	2399	19732	0	0	0	2	4	1	7	2642	2918	266	6169	10941	13200	6685	3712	21247	9669	2747	15407	15095	27911	8011	70989	52249	94514	364652	4290357	0
LFQ	16	0	0	0	0	0	0	0	0	0	25	2917	23138	0	0	1	0	3	1	15	2756	3432	214	6876	12304	14736	6191	3421	25443	9993	3118	17852	16922	31482	8983	77369	55988	103711	394589	4217061	0
LFQ	17	0	0	1	0	0	0	0	0	0	20	2744	20940	0	0	3	1	2	2	9	3272	2621	375	6161	11578	13985	8840	5426	18605	11482	2982	15874	16542	31110	8853	75929	55302	103305	402378	4217320	0
LFQ	18	0	0	0	0	0	0	0	0	0	27	2864	21702	0	0	2	0	5	5	18	3725	2364	457	6435	12707	14561	10904	6573	17127	12320	3232	15543	16957	31528	9004	79458	57735	106472	410895	4189784	0
LFQ	19	0	0	0	0	0	0	0	0	0	31	2752	22218	0	0	1	1	7	3	13	4706	1103	400	6917	12825	15371	17002	10580	7380	15688	3249	13013	17547	32774	9115	81672	59412	108516	418507	4168176	0
LFQ	20	0	0	0	0	0	0	0	0	0	32	3256	24736	0	0	2	3	7	1	20	4837	1436	449	7543	14298	17038	17258	10502	10420	16069	3361	14623	18742	35403	9869	87685	62963	114870	440913	4109117	0
LFQ	21	0	0	0	0	0	0	0	0	0	31	3181	24548	0	0	2	4	5	3	7	5824	480	504	7559	17713	17770	16707	13004	3915	17898	5766	11369	22189	31885	10780	89034	63858	134557	434773	4088564	0
LFQ	22	0	0	0	0	0	0	0	0	0	32	3237	24896	0	0	3	1	6	3	25	5935	315	478	7732	22423	19385	12607	13729	2452	18673	8720	9224	26655	28105	11865	92966	66718	158771	423446	4059859	0
LFQ	23	0	0	0	0	0	0	0	0	0	38	3494	27544	0	0	7	0	2	5	25	6488	27	1684	7317	26368	22249	12529	16126	33	20542	12155	10287	27382	27670	13897	100309	80517	166370	436752	3994418	0
LFQ	24	0	0	0	0	0	0	0	0	0	51	4049	31887	0	0	3	0	4	5	25	6913	614	596	9432	33105	25881	6013	15998	4463	21660	14917	8314	37291	26076	15068	109694	76480	214265	445923	3901107	0
LFQ	25	0	0	0	0	0	0	0	0	0	47	3895	30220	0	0	6	1	2	5	31	7477	30	3196	6862	38179	26426	1842	17635	22	22929	21498	8738	37497	20028	18307	110245	98535	222192	429374	3880310	0
LFQ	26	0	0	0	0	0	0	0	0	0	46	4313	31945	0	0	6	3	7	5	24	7632	37	5085	5862	40040	28395	2786	18445	22	23983	23620	12005	35463	22029	20123	115645	112711	212258	449057	3829198	0
LFQ	27	0	0	0	0	0	0	0	0	0	50	4256	32261	0	0	4	1	12	5	30	7664	54	7101	4033	45538	26435	100	18781	21	28000	24869	14244	36299	21852	18742	118535	130136	215696	451606	3789315	0
LFQ	28	0	0	0	0	0	0	0	0	0	68	4907	38073	0	0	5	3	5	7	39	8525	54	8125	4658	48075	30622	1223	20601	26	28886	28050	15973	36977	23705	21612	125685	137676	221517	472637	3712259	0
LFQ	29	0	0	0	0	0	0	0	0	0	63	4597	34985	0	0	3	1	10	7	24	8522	100	11411	1070	49552	27823	104	20436	21	31040	30393	20502	34304	23552	22170	125071	164769	202012	477862	3694233	0
LFQ	30	0	0	0	0	0	0	0	0	0	76	5205	39876	0	0	4	3	5	7	36	9167	95	12439	1356	58285	26512	104	21824	30	37317	28255	22240	37105	27574	18534	132942	170701	209283	493672	3625897	0
LFQ	31	0	0	0	0	0	0	0	0	0	71	5020	37465	0	0	8	4	9	4	34	8773	104	13690	32	64703	18934	118	21394	35	45146	23286	24622	39880	30586	11867	132901	184448	204799	504667	3599409	0
LFQ	32	0	0	0	0	0	0	0	0	0	88	5360	40337	0	0	11	3	387	128	345	8446	114	14576	46	70244	18554	122	22384	28	48129	22285	27352	40929	33538	10166	138476	187922	208449	516158	3549881	0
LFQ	33	0	0	0	0	0	0	0	0	0	95	5806	43385	0	0	10	7	269	90	222	9360	138	15613	41	75988	18418	152	23795	41	52920	22385	27856	45391	35648	9503	145464	197352	216199	532412	3478285	0
LFQ	34	0	0	0	0	0	0	0	0	0	92	5986	45353	0	0	5	4	1329	500	1205	7173	163	15983	95	83255	14092	174	24776	52	59854	17984	31826	48113	40688	4664	150997	199813	223870	547741	3422978	0
LFQ	35	0	0	0	0	0	0	0	0	0	124	6180	46925	0	0	9	4	1537	474	1156	7550	155	17065	113	87330	14129	161	25881	52	63855	18526	33281	51465	42543	4350	155840	207664	232491	562943	3358429	0
LFQ	36	0	0	0	0	0	0	0	0	0	105	6248	48797	0	0	16	7	2965	944	2283	4660	179	17564	169	93651	11057	164	26171	69	68492	15732	37406	52475	47523	1297	161327	205974	235584	571898	3318378	0
LFQ	37	0	0	0	0	0	0	0	0	0	117	6696	50729	0	0	5	12	3185	1007	2406	4394	199	18457	191	97690	11979	180	27795	58	72073	16124	39080	54510	49352	1410	165424	212229	241188	583150	3261811	0
LFQ	38	0	0	0	0	0	0	0	0	2	114	6988	52483	0	0	18	694	3527	1286	3365	2560	226	20423	322	100911	13802	172	25197	70	78539	16746	49311	50364	45451	2014	170454	247056	214391	595786	3208779	0
LFQ	39	0	0	0	0	0	0	0	0	9	144	7548	55496	0	0	12	1443	3243	1467	3728	2013	210	23459	500	105888	16177	182	23553	89	86827	17531	59562	47804	41963	2419	178896	286531	187300	608124	3137882	0
LFQ	40	0	0	0	0	0	0	0	0	25	158	8475	61094	0	0	16	2606	2358	1628	3886	3002	222	27455	730	111105	20575	174	21502	122	96114	19989	71277	45602	35108	4383	185597	338603	154339	626603	3044709	0
LFQ	41	0	0	0	0	0	0	0	0	28	169	8848	63479	0	0	16	2821	3125	2015	4625	1733	223	28960	791	115006	21351	216	22995	133	103407	20187	75499	48533	38700	4696	191218	349287	161398	638188	2966423	0
LFQ	42	0	0	0	0	0	0	0	0	31	178	9289	63232	0	0	20	4967	1721	2175	5308	120	170	35693	1354	117301	24190	175	13350	160	118820	18966	99289	34307	22180	4040	195573	440743	70440	649299	2926772	0
LFQ	43	0	0	0	0	0	0	0	0	62	4761	12036	56418	0	3	15	5860	1033	2177	5524	933	10693	37308	4991	106233	31087	3957	14701	2686	110030	23268	110949	32555	20708	27368	181191	455150	59727	923525	2599638	0
LFQ	44	0	0	0	0	0	0	0	0	43	214	10524	71731	0	0	24	5583	1447	2278	5729	967	244	41284	1683	126348	28964	212	14643	216	128876	22745	106792	37585	22220	6463	207718	471547	70023	667267	2774661	0
LFQ	45	0	0	0	0	0	0	0	0	61	2150	11867	67699	0	2	29	6634	1202	2536	6164	240	4728	44344	3381	122018	30917	1662	13391	1205	133376	22506	118317	34197	20542	15722	201240	492162	53061	825113	2573929	0
LFQ	46	0	0	0	0	0	0	0	0	58	5352	13612	62193	0	3	25	7222	914	2448	6268	340	11601	46537	5714	113630	35330	4257	13422	2945	127712	24894	126135	32616	19053	29013	193867	507304	43664	940617	2415045	0
LFQ	47	0	0	0	0	0	0	0	0	92	12639	18559	54418	0	4	37	7954	1074	2690	6984	604	28422	47398	11469	99940	44169	9447	17133	6648	111383	31562	138451	33831	22150	65134	170391	496520	50476	1328450	1952858	0
LFQ	48	0	0	0	0	0	0	0	0	82	9446	17640	67710	0	9	39	7192	2370	2981	7456	497	21201	49178	9338	116495	42120	7264	22005	5016	126305	29851	130858	44517	30802	48278	189146	482640	86390	1130177	2060845	0
LFQ	49	0	0	0	0	0	0	0	0	130	25270	27046	35767	0	9	30	10343	1213	3168	8041	1235	59217	47653	21296	67257	61792	20609	25856	14108	85297	42757	160708	36266	27812	127358	123862	493616	59790	1935158	1200010	0
LFQ	50	0	0	0	0	0	0	0	0	125	23377	26782	41609	0	10	28	9990	1127	3198	8336	1206	55666	52155	20497	76970	60988	18295	24334	12879	95952	41792	163020	35709	26280	116637	137769	505094	54077	1790340	1290945	0
LFQ	51	0	0	0	0	0	0	0	0	167	34711	33815	25180	0	20	34	10840	1647	3445	8887	1587	81087	47966	29095	50017	74861	27315	32027	18794	64252	50478	174428	39270	33002	166345	97493	477773	72575	2231425	775782	0
LFQ	52	0	0	0	0	0	0	0	0	157	38432	36648	21504	0	21	39	11454	1855	3625	9335	1771	88938	49087	31268	44546	80018	30485	34956	20590	58628	52345	179941	40238	34697	180152	89031	475096	76919	2309851	629573	0
LFQ	53	0	0	0	0	0	0	0	0	216	51852	44478	2072	0	26	55	12659	2467	3907	10252	2264	118796	42695	40768	14405	94162	40027	44714	27407	23311	62192	192906	44102	41953	237284	43362	443817	96522	2791433	65850	0
LFQ	54	0	0	0	0	0	0	0	0	211	46475	42293	14840	0	23	39	12559	2147	4016	10323	2089	106790	49739	37079	33478	90582	36248	41464	24964	47689	58125	193292	44485	38162	207904	71549	472714	83605	2437011	348840	0
LFQ	55	0	0	6	0	0	0	0	5	1828	54260	46840	2317	2	32	36	13639	2787	4132	10447	2439	125686	44809	43276	17940	99568	42840	47818	29542	29344	64489	196336	46334	44468	240134	45714	469365	110336	2623708	58216	0
LFQ	56	0	0	0	0	0	0	0	0	247	55430	48602	2658	0	30	46	13555	2624	4331	11303	2633	126482	47318	43963	16294	102642	43747	49063	30032	27035	64163	205084	47828	42391	240010	45801	464479	93448	2594267	51095	0
LFQ	57	0	0	4	0	0	0	0	13	3219	57259	47945	2	5	23	53	14529	3028	4367	10917	2569	133055	44981	45802	17310	104193	46031	50951	32129	30301	66429	196432	47025	47945	246946	41923	486019	125092	2525566	0	0
LFQ	58	0	0	0	0	0	0	0	8	1891	58846	50878	3	0	32	50	14595	3160	4806	11827	2736	136297	47082	46991	15518	108261	47034	52722	32696	27175	65780	205807	48333	45512	245997	41645	476125	107637	2485529	0	0
LFQ	59	0	0	0	0	0	0	0	83	22129	57940	33262	11	24	33	44	17414	4808	3761	9157	1915	151468	37450	47962	48941	97170	52364	55704	39857	81741	76697	133528	38996	74097	250180	50889	619810	297795	2029728	0	0
LFQ	60	0	0	0	0	0	0	0	41	14055	59276	42005	11	8	37	45	17092	4339	4346	10916	2337	148650	42520	48607	36332	104826	52283	56804	38002	61614	72163	164468	43752	62129	247012	47352	567127	220184	2113327	0	0
LFQ	61	0	0	0	0	0	0	0	117	34417	56758	22338	10	24	26	32	19586	6103	3051	7988	1429	164063	32423	49121	71221	92419	56728	59253	44079	116442	83018	90425	33632	89605	249656	56744	704996	404751	1674710	0	0
LFQ	62	0	0	0	0	0	0	0	104	32432	60719	27949	10	22	24	45	20291	5872	3577	8864	1663	166048	36046	51047	66730	97284	57528	61199	44345	109026	81218	103964	35924	83753	247708	55344	680588	366442	1657350	0	0
LFQ	63	0	0	0	0	0	0	0	123	41086	58837	19036	4004	26	26	53	21669	6783	3164	7885	1252	167908	34309	50053	86773	91381	59286	62047	45345	137415	84621	74196	31234	91966	238732	63956	737011	429323	1412979	36406	0
LFQ	64	0	0	0	0	0	0	0	128	46071	60496	15635	11	33	16	50	22854	7602	2855	7694	1121	176898	29745	51455	90903	90975	63372	65656	47318	142814	87928	58137	29313	96443	241579	59806	756997	463060	1314261	0	0
LFQ	65	0	0	0	0	0	0	0	167	55072	58622	6028	24	25	18	42	24027	8147	2263	6101	650	181396	25190	51380	106827	84439	64262	66390	49657	167267	91882	23175	24322	106921	239584	63297	812236	538616	1102794	0	0
LFQ	66	0	0	0	0	0	0	0	159	56748	59584	4816	21	38	14	36	24318	8379	2303	6150	646	184249	24405	52066	109031	85054	65857	67547	49845	168041	92155	18457	23183	106422	235086	64518	808299	539769	1029647	0	0
LFQ	67	0	0	0	0	0	0	0	187	60201	61081	3277	16	42	24	30	24677	8534	2192	5899	510	186168	23888	52769	112137	84145	66207	68011	50251	171516	92834	12158	21894	105684	233335	64051	808152	539556	951367	0	0
LFQ	68	0	0	0	0	0	0	0	215	61669	59383	0	18	47	27	50	25416	8877	2036	5468	352	186449	22064	52796	117264	81260	67129	69481	50330	178226	93746	608	20072	106044	228244	64147	817840	556824	858034	0	0
LFQ	69	0	0	0	0	0	0	0	219	60970	61414	2137	21	58	39	34	25481	8857	2260	5837	480	185688	23738	52877	114650	83474	66871	69426	49274	171969	92019	6727	20833	101486	223895	62409	793699	528051	838494	0	0
LFQ	70	0	0	0	0	0	0	0	190	60421	62768	3689	13	54	27	39	25927	9034	2306	6373	575	186077	24309	52798	113522	85195	67865	71401	48896	166907	89970	12190	21265	96488	217521	61779	768006	498892	816434	0	0
LFQ	71	0	0	0	0	0	0	0	192	62600	62164	0	17	60	18	36	26152	8918	2208	5625	357	184966	22471	52530	117931	81811	68571	71216	48326	173007	91264	541	19322	96980	211007	62032	776072	511364	729610	0	0
LFQ	72	0	0	0	0	0	0	0	192	61319	63582	2256	14	34	24	37	26497	9162	2308	6309	537	183870	23699	52461	114205	83859	68425	72075	47747	166873	88156	6788	20035	91922	205790	59419	750400	483945	709681	0	0
LFQ	73	0	0	0	0	0	0	0	199	62924	63731	0	14	61	23	40	26774	9364	2154	5987	383	182683	22792	52633	116876	81499	69287	72140	46957	168284	88202	572	18148	90854	200500	59177	742239	479619	650756	0	0
LFQ	74	0	0	0	0	0	0	0	207	59966	63427	2124	17	50	25	36	26394	9040	2345	6217	501	179959	23560	51795	112566	83028	68287	72666	46109	161179	86266	6446	19062	85836	195308	58087	717082	455928	633201	0	0
LFQ	75	0	0	0	0	0	0	0	192	61545	63873	0	29	42	36	37	26703	9044	2262	5873	372	178974	22396	51431	115140	80221	67687	72318	45725	162277	85738	554	17699	84223	189525	57733	708629	449549	576398	0	0
LFQ	76	0	0	0	0	0	0	0	185	52718	62828	10820	9588	40	21	43	26280	8381	3472	9103	1033	163685	34432	49550	106423	85800	63931	69648	42547	157179	76571	34152	22374	72409	173013	61105	647941	370040	601168	25783	0
LFQ	77	0	0	0	0	0	0	0	202	59587	64965	2080	15	57	26	59	27871	9514	2563	6812	485	171719	22591	50687	114623	81276	71775	76343	42642	154238	82288	5594	17782	76454	173437	54559	666475	401714	511791	0	0
LFQ	78	0	0	0	0	0	0	0	215	60888	65019	0	13	54	36	34	27721	9550	2425	6363	356	171757	21799	50086	114042	79490	69898	74661	42131	152425	80282	451	16078	74145	167381	53214	649814	397739	468367	0	0
LFQ	79	0	0	0	0	0	0	0	193	58763	63038	0	6	49	22	31	26895	9110	2334	5999	347	166249	21629	49020	110975	77958	67355	73849	40230	148345	79303	489	15950	71387	162891	52152	631918	383818	442366	0	0
LFQ	80	0	0	0	0	0	0	0	174	53228	59576	4185	8196	49	21	43	25672	8278	2864	7430	552	153250	30029	46001	106257	76944	60759	67996	38299	152768	72099	15855	17609	64678	150011	55476	595127	344024	431992	18701	0
LFQ	81	0	0	0	0	0	0	0	176	57328	62500	0	15	56	31	46	26947	8923	2360	6018	341	158718	21055	46829	106405	74979	66535	72310	38481	140110	74714	411	14483	64436	149917	49338	588761	352655	390868	0	0
LFQ	82	0	0	0	0	0	0	0	164	55397	60714	0	5	56	31	38	25220	8692	2253	5790	314	154040	20445	46054	102786	73363	62575	70166	37180	134793	72049	384	13870	61542	145125	47929	570416	341090	372089	0	0
LFQ	83	0	0	0	0	0	0	0	155	54171	60070	0	14	52	23	41	25179	8635	2253	5713	316	150837	19888	45280	100165	71804	61719	68344	36435	129463	69023	399	13293	58652	138948	46330	548165	326358	350994	0	0
LFQ	84	0	0	0	0	0	0	0	167	52607	58724	0	13	38	20	38	24698	8176	2229	5537	339	145529	19157	43961	96675	69624	59487	67026	34836	125293	67236	415	12673	55789	133930	44481	527672	312393	333109	0	0
LFQ	85	0	0	0	0	0	0	0	161	50421	57494	0	13	45	33	38	23800	7880	2098	5407	331	142214	18774	43775	93642	67721	57714	65702	33803	120359	64835	346	12318	53030	129198	43387	507684	298395	310563	0	0
LFQ	86	0	0	0	0	0	0	0	153	50589	58739	0	9	55	18	44	24639	8187	2256	5554	286	138669	18431	42863	91982	67445	57371	65444	32391	116272	61974	367	11726	49258	122107	41488	482167	281136	288283	0	0
LFQ	87	0	0	0	0	0	0	0	153	49688	57476	0	10	48	25	24	23508	8005	2224	5590	286	133501	18187	41811	89854	65593	56477	65033	30932	112331	60061	306	11208	46987	116195	40117	461633	265392	267195	0	0
LFQ	88	0	0	0	0	0	0	0	148	46950	55294	0	13	45	30	31	22895	7567	2073	5218	289	128376	17637	40289	86961	63285	54845	63429	29986	107808	58374	304	10736	44577	110598	38347	442956	253761	248624	0	0
LFQ	89	0	0	0	0	0	0	0	163	46082	54443	0	18	57	24	28	22444	7433	2079	5252	264	124561	16903	39201	83722	61334	52272	62166	28425	102780	55783	272	10048	42409	104462	37065	421409	241188	229977	0	0
LFQ	90	0	0	0	0	0	0	0	145	44355	52452	0	11	47	23	31	22056	7491	2135	5210	311	118904	16569	37658	80874	59428	51704	60539	27107	97942	53940	259	9609	39325	98938	35484	401788	226344	214159	0	0
LFQ	91	0	0	0	0	0	0	0	142	42859	52197	0	9	55	27	47	21381	7144	1913	4887	326	114787	15824	36564	78070	57568	50320	58511	26076	93813	51261	263	9091	36725	93372	33856	382472	212175	198050	0	0
LFQ	92	0	0	0	0	0	0	0	141	41449	50248	0	5	37	18	27	21127	6807	1920	4923	253	109618	15216	35028	74437	55443	48444	57552	24288	89418	48704	249	8713	34387	88063	32446	363817	201499	182908	0	0
LFQ	93	0	0	0	0	0	0	0	101	38201	47303	0	13	30	19	26	19535	6225	1822	4538	226	103743	14612	33044	71320	53259	46057	54913	23389	85373	46546	245	8275	32738	83439	31107	347669	191578	171729	0	0
LFQ	94	0	0	0	0	0	0	0	135	37757	46373	0	10	37	15	25	19087	6350	1789	4601	253	100235	14016	32524	67974	51019	44367	53124	22367	80152	43770	229	7797	30109	78427	28940	327246	179905	158384	0	0
LFQ	95	0	0	0	0	0	0	0	120	36387	45725	0	13	44	24	41	18613	5886	1703	4307	249	95194	13478	30956	65035	49061	42540	50978	21138	75769	41728	208	7053	28071	74745	27985	308331	168816	145819	0	0
LFQ	96	0	0	0	0	0	0	0	113	34691	44180	0	11	37	15	25	17930	5735	1705	4068	242	89844	13038	29554	62388	46992	40626	49468	20134	71565	39594	215	6787	26411	69940	26569	290819	158518	134813	0	0
LFQ	97	0	0	0	0	0	0	0	112	32393	41965	0	8	51	20	38	17047	5429	1689	3908	220	85758	12366	28201	58963	44845	39046	47901	18887	68180	37668	191	6380	24753	64746	25345	274760	148072	124914	0	0
LFQ	98	0	0	0	0	0	0	0	114	30580	40348	0	8	36	22	25	16182	5151	1567	3766	226	81161	11499	26917	55785	42867	36793	45686	17848	64192	36222	162	6060	22930	61150	24128	258678	138882	115125	0	0
LFQ	99	0	0	0	0	0	0	0	91	29170	38545	1141	8	30	13	23	15492	5007	1656	3978	300	76363	11679	25523	52020	41269	35354	44061	16835	59869	33047	2128	5980	20988	56878	22228	240667	126440	110070	0	0
LFQ	100	0	0	0	0	0	0	0	91	28051	37123	0	6	36	10	27	14973	4735	1428	3415	195	72826	10708	24212	49998	39284	33882	42110	15442	56917	31936	151	5278	19587	53082	20756	227914	120743	97334	0	0
LFQ	101	0	0	0	0	0	0	0	82	25856	34814	0	6	23	11	33	13826	4452	1411	3238	160	68521	10101	22930	47852	36775	31482	39694	14808	53440	30019	140	4950	18106	49592	20050	214103	113777	90071	0	0
LFQ	102	0	0	0	0	0	0	0	87	23404	33347	2112	5	27	14	22	13161	4245	1511	3586	338	63567	10060	21704	42398	35766	29609	37658	14090	48280	27099	3876	5310	16370	45926	18466	196853	100962	90461	0	0
LFQ	103	0	0	0	0	0	0	0	75	22703	31874	1009	4	22	15	20	12793	4036	1334	3224	214	60074	9243	20497	41055	33540	28489	36708	13054	45547	25898	2161	4591	15471	42736	17242	184002	95331	80307	0	0
LFQ	104	0	0	0	0	0	0	0	74	22029	30152	0	4	9	17	18	12094	3712	1181	2785	132	56888	8462	19509	39302	31093	26837	34854	11844	43496	24634	118	3902	14337	39602	16475	174677	90965	69708	0	0
LFQ	105	0	0	0	0	0	0	0	78	20647	28810	0	4	23	13	17	11590	3570	1139	2854	131	53665	7902	18355	37184	29290	25564	32727	11188	40636	22653	106	3555	13118	36890	15639	161024	84216	63148	0	0
LFQ	106	0	0	0	0	0	0	0	78	19325	27204	0	2	22	12	12	10851	3332	1090	2467	113	49268	7582	17291	34748	27508	23874	31105	10199	37314	21376	81	3396	12051	33977	14584	149750	77405	57451	0	0
LFQ	107	0	0	0	0	0	0	0	62	18688	26602	0	3	16	9	19	10574	3255	1085	2494	125	46374	6893	16243	31663	25952	21956	29009	9634	34435	19624	95	3078	10981	31269	13273	138286	71465	52202	0	0
LFQ	108	0	0	0	0	0	0	0	63	16942	23927	0	1	24	13	19	9661	3143	982	2417	88	44090	6485	14974	30029	24359	21201	27703	8771	32279	18561	85	2798	9822	28607	12410	127680	65724	48475	0	0
LFQ	109	0	0	0	0	0	0	0	46	15361	22246	0	3	13	4	11	8902	2771	917	2196	73	39884	5863	14080	27955	22505	19404	25980	8240	29835	17387	73	2635	9359	26689	11702	118929	61227	43933	0	0
LFQ	110	0	0	0	0	0	0	0	48	13897	20820	509	7	15	6	8	8189	2523	831	1976	123	36521	5917	13203	25409	21125	17814	24030	7798	27269	15534	935	2670	8457	24429	10984	109393	55355	42198	0	0
LFQ	111	0	0	0	0	0	0	0	42	13992	20124	0	3	11	5	16	8008	2469	829	1924	78	34281	5256	12367	24112	19657	16649	22505	7090	25563	14584	70	2218	7700	22703	10046	100196	51324	36376	0	0
LFQ	112	0	0	0	0	0	0	0	48	12356	18464	0	2	15	9	9	7167	2133	728	1744	93	31668	4864	11443	22608	18259	15919	21194	6257	23649	13581	37	2007	7001	20629	9398	93392	47540	33391	0	0
LFQ	113	0	0	0	0	0	0	0	38	11380	17207	0	4	16	2	11	6727	2005	692	1601	55	29416	4693	10625	20465	17081	14478	19371	5904	21747	12597	46	1837	6640	18875	8491	86432	43870	30356	0	0
